id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
197787,Sunny Apartment Roofterrace (#2),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,92,1,2,2017-01-05,0.03,14,291,0,
422063,Min 1 Month Be at the center with private bathroom,518644,Michael,,Margareten,48.19536,16.35912,Private room,40,30,26,2022-04-13,0.59,33,91,1,
197796,Cozy Apartment in the attic (#3),675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,110,1,1,2016-08-03,0.01,14,317,0,
197809,Cozy Studio for 2 persons (#4),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,81,1,6,2022-05-24,0.05,14,289,1,
197822,Comfortable Apartement for 2 (#5),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,78,1,0,,,14,281,0,
197827,Comfortable Apartment for 2 (#6),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,86,1,0,,,14,320,0,
197831,Roomy Apartment for 4 persons (#7),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,139,1,0,,,14,259,0,
197842,Apartment with elegant charme (#8),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,139,1,3,2016-12-14,0.03,14,274,0,
197852,Studio with Garden for 2 (#H03),675182,Stephanie,,Hernals,48.22509,16.31632,Entire home/apt,89,1,0,,,14,238,0,
197857,Quiet Studio with Garden (#R02),675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,85,1,3,2018-05-06,0.03,14,273,0,
197859,Studio with Balcony for 2 (#R26),675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,89,1,3,2022-07-20,0.09,14,267,2,
197865,Apartment with Space for 5 (#F21/7),675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,190,1,1,2014-01-05,0.01,14,272,0,
197870,Spacious comfy Apartment (#F21/18),675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,190,1,1,2017-05-01,0.02,14,314,0,
197968,Central 2 bedroom flat,965759,Pierre,,Alsergrund,48.21919,16.35505,Entire home/apt,123,1,75,2022-08-20,0.62,2,365,10,
429820,LONG TERM Center Room +private shower+sink,518644,Michael,,Margareten,48.19465,16.36058,Private room,28,30,20,2022-05-31,0.16,33,335,2,
203691,"At the City center room with shower, sink",518644,Michael,,Margareten,48.19347,16.359,Private room,41,1,53,2022-09-05,0.39,33,345,17,
203707,LONG TERM Full of light and large bathroom+Bathtub,518644,Michael,,Margareten,48.19496,16.35896,Entire home/apt,65,30,98,2022-06-10,0.73,33,328,1,
208734,美妙的维也纳市中心居家生活体验!,1028000,Liang,,Mariahilf,48.19341,16.35082,Entire home/apt,140,3,22,2019-05-21,0.34,1,0,0,
210780,Elegant Home Close to Palace Schönbrunn,175131,Ingela,,Rudolfsheim-Fnfhaus,48.18444,16.32715,Entire home/apt,81,1,169,2022-08-12,1.27,15,147,11,
212649,roofflat in the center with terrace,358842,Elxe,,Leopoldstadt,48.21971,16.37903,Private room,50,2,26,2022-05-20,0.21,3,9,3,
216214,Complete furnished+private bathroom 1 month min,518644,Michael,,Margareten,48.19372,16.35862,Private room,28,30,36,2022-07-31,0.27,33,96,1,
222614,"DOWNTOWN CITYAPARTMENT ""4 CITYEXPLORERS""",1156106,Stefan,,Mariahilf,48.20016,16.36049,Entire home/apt,64,2,626,2022-08-26,4.70,2,277,59,
